"001","臼井","徳明","うすい","のりあき","1970/04/19","6728039","兵庫県姫路市飾磨区阿成渡場3-8","079-380-7535","UsuiLair89@Garner.com","山形県鶴岡市"
"002","山脇","浅子","やまわき","あさこ","1975/05/10","6128355","京都府京都市伏見区東菱屋町78","075-235-0811","AsakoGraphic@Hippie.ne.jp","福岡県柳川市"
"003","白木","武揚","しらき","たけあき","1980/01/10","6600813","兵庫県尼崎市杭瀬寺島7番15号","06-0233-9986","ShirakiTakeaki23@Beverage.ne.jp","新潟県長岡市"
"004","阿部","恵","あべ","めぐみ","1954/08/18","5918011","大阪府堺市北区南花田町5丁目20番","072-183-6683","HomelessAbe0167@Lair.org","沖縄県石垣市"
"005","袴田","崇司","はかまだ","たかし","1957/08/22","6040973","京都府京都市中京区五丁目1丁目12番","075-065-5626",,"茨城県日立市"
"006","大川","貢平","おおかわ","こうへい","1967/03/18","6008478","京都府京都市下京区西綾小路西半町17番20号","075-927-1177",,"青森県弘前市"
"007","下田","幸一郎","しもだ","こういちろう","1962/04/08","6010102","京都府京都市北区真弓善福280","075-040-8272","KouichirouShimoda0457@Meeting.co.jp","北海道江別市"
"008","末松","貴江","すえまつ","たかえ","1967/04/17","6068428","京都府京都市左京区鹿ケ谷栗木谷町178-9",,"15SuematsuFoolhardyTakae@Invaluable.org","岡山県岡山市南区"
"009","吉本","沙苗","よしもと","さなえ","1989/02/01","6511412","兵庫県西宮市山口町下山口115",,,"新潟県村上市"
"010","木村","徳彦","きむら","とくひこ","1969/07/09","6308264","奈良県奈良市鍋屋町77","0742-74-2351","Tokuhiko-27@Look.com","青森県弘前市"
"011","寺尾","智美","てらお","ともみ","1963/12/31","5691016","大阪府高槻市成合西の町7丁目16番9号","072-431-6575","TeraoTomomi@Enrage.org","高知県香南市"
"012","浜","万里子","はま","まりこ","1960/02/14","5570034","大阪府大阪市西成区松303-3","06-7452-1555","Hama@Bashful.org","宮城県黒川郡大和町"
"013","小関","謙","こせき","けん","1978/09/23","6018452","京都府京都市南区唐橋堂ノ前町6番6号",,"Ken-056-Ripen@Rejuvenate.ne.jp","茨城県坂東市"
"014","吉沢","晋三","よしざわ","しんぞう","1949/06/15","5320034","大阪府大阪市淀川区野中北7丁目4番","06-8930-8793","Shinzou@Migration.co.jp","北海道広尾郡大樹町"
"015","高尾","康彦","たかお","やすひこ","1974/09/04","6308302","奈良県奈良市白毫寺町2番17号","0742-53-2429","45Takao@Finding.co.jp","福井県南条郡南越前町"
"016","山本","龍太郎","やまもと","りゅうたろう","1962/04/07","6060852","京都府京都市左京区下鴨東梅ノ木町151",,,"広島県廿日市市"
"017","柴田","一茂","しばた","かずしげ","1977/12/03","5730153","大阪府枚方市藤阪東町4丁目18番6号","072-214-6233","Migration56@Scary.ne.jp","福岡県筑紫野市"
